"Distance [mm]"	"Mag_B [mTesla]"
0	48.8188252289774
0.0450004	48.9928783430877
0.0900008	49.167430638931
0.1350012	49.3424822123047
0.1800016	49.5180331600789
0.225002	49.6940835801958
0.2700024	49.8706335716699
0.3150028	50.0476832345881
0.3600032	50.2252326701096
0.4050036	50.4032819804657
0.450004	50.5818312689604
0.4950044	50.7608806399697
0.5400048	50.9404301989421
0.5850052	51.1192022326823
0.6300056	51.2973240046992
0.675006	51.4752389166347
0.7200064	51.6529412831535
0.7650068	51.8304254511763
0.8100072	52.0076857998805
0.8550076	52.1847167406999
0.900008	52.3615127173246
0.9450084	52.5380682057011
0.9900088	52.7143777140325
1.0350092	52.8904357827782
1.0800096	53.0662369846539
1.12501	53.2417759246318
1.1700104	53.4170472399408
1.2150108	53.5920456000657
1.2600112	53.766765706748
1.3050116	53.9412022939857
1.350012	54.1153501280327
1.3950124	54.2892040074004
1.4400128	54.4627587628554
1.4850132	54.6360092574213
1.5300136	54.8089503863782
1.575014	54.9815770772624
1.6200144	55.1538842898666
1.6650148	55.3451961697579
1.7100152	55.541556340592
1.7550156	55.7410422355119
1.800016	55.9436507180059
1.8450164	56.1493786673512
1.8900168	56.3582229786131
1.9350172	56.5701805626446
1.9800176	56.7852483460869
2.025018	57.0034232713696
2.0700184	57.2247022967101
2.1150188	57.4490823961141
2.1600192	57.6765605593749
2.2050196	57.9071337920749
2.25002	58.1407991155835
2.2950204	58.377553567059
2.3400208	58.6173941994473
2.3850212	58.8603180814828
2.4300216	59.1063222976877
2.475022	59.3554039483725
2.5200224	59.6075601496355
2.5650228	59.8627880333636
2.6100232	60.1210847472311
2.6550236	60.3824474547013
2.700024	60.6468733350248
2.7450244	60.9143595832407
2.7900248	61.1849034101762
2.8350252	61.4585020424464
2.8800256	61.7351527224545
2.925026	62.0148527083923
2.9700264	62.2975992742389
3.0150268	62.5833897097623
3.0600272	62.872221320518
3.1050276	63.1640914278498
3.150028	63.4589973688898
3.1950284	63.7569364965579
3.2400288	64.0579061795624
3.2850292	64.3619038023992
3.3300296	64.6689267653529
3.37503	64.9789724844961
3.4200304	65.2920383916889
3.4650308	65.6081219345804
3.5100312	65.927220576607
3.5550316	66.2493317969935
3.600032	66.5744530907531
3.6450324	66.9025819686866
3.6900328	67.2337159573835
3.7350332	67.5678525992206
3.7800336	67.9049894523636
3.825034	68.245124090766
3.8700344	68.5882541041689
3.9150348	68.9343770981024
3.9600352	69.2834906938841
4.0050356	69.6355925286199
4.050036	69.9906802552035
4.0950364	70.3487515423173
4.1400368	70.7098040744313
4.1850372	71.0738355518038
4.2300376	71.4408436904811
4.275038	71.8108262222978
4.3200384	72.1837808948765
4.3650388	72.5597054716276
4.4100392	72.9385977317501
4.4550396	73.3204554702308
4.50004	73.7052764978447
4.5450404	74.0930586411548
4.5900408	74.4837997425123
4.6350412	74.8774976600565
4.6800416	75.2741502677149
4.725042	75.6737554552028
4.7700424	76.0763111280239
4.8150428	76.4818152074696
4.8600432	76.8902656306202
4.9050436	77.3016603503433
4.950044	77.7159973352946
4.9950444	78.1332745699187
5.0400448	78.5534900544476
5.0850452	78.9766418049014
5.1300456	79.4027278530886
5.175046	79.8317462466059
5.2200464	80.2636950488378
5.2650468	80.6985723389566
5.3100472	81.1363762119237
5.3550476	81.5771047784878
5.400048	82.0207561651859
5.4450484	82.4673285143427
5.4900488	82.9168199840721
5.5350492	83.3692287482748
5.5800496	83.8245529966406
5.62505	84.984753527973
5.6700504	86.3235697067291
5.7150508	87.7017375672324
5.7600512	89.1188151061182
5.8050516	90.5743680346796
5.850052	92.0679697788666
5.8950524	93.5992014792864
5.9400528	95.1676519912031
5.9850532	96.7729178845381
6.0300536	98.4146034438703
6.075054	100.092320668435
6.1200544	101.805689272125
6.1650548	103.554336683491
6.2100552	105.33789804574
6.2550556	107.156016216735
6.300056	109.008341768998
6.3450564	110.894532989708
6.3900568	112.814255880701
6.4350572	114.767184158468
6.4800576	116.752999254161
6.525058	118.771390313585
6.5700584	120.822054197206
6.6150588	122.904695480144
6.6600592	125.019026452179
6.7050596	127.164767117745
6.75006	129.341645195935
6.7950604	131.5493961205
6.8400608	133.787763039845
6.8850612	136.056496817036
6.9300616	138.355356029794
6.975062	140.684106970496
7.0200624	143.042523646179
7.0650628	145.430387778535
7.1100632	147.847488803914
7.1550636	150.293623873323
7.200064	152.768597852425
7.2450644	155.272223321543
7.2900648	157.804320575654
7.3350652	160.364717624395
7.3800656	162.953250192057
7.425066	165.56976171759
7.4700664	168.214103354601
7.5150668	170.886133971355
7.5600672	173.585720150772
7.6050676	176.312736190431
7.650068	179.067064102566
7.6950684	181.848593614071
7.7400688	184.657222166496
7.7850692	187.492854916047
7.8300696	190.355404733588
7.87507	193.24479220464
7.9200704	196.160945629381
7.9650708	199.103801022648
8.0100712	202.073302113932
8.0550716	205.069400347382
8.100072	208.092054881806
8.1450724	211.141232590668
8.1900728	214.216908062089
8.2350732	217.319063598846
8.2800736	220.447689218375
8.325074	223.60278265277
8.3700744	226.784349348778
8.4150748	229.992402467807
8.4600752	233.226962885921
8.5050756	236.488059193841
8.550076	239.775727696944
8.5950764	243.090012415267
8.6400768	246.4309650835
8.6850772	249.798645150995
8.7300776	253.193119781758
8.775078	256.614463854452
8.8200784	260.062759962399
8.8650788	263.538098413576
8.9100792	267.040577230619
8.9550796	270.570302150819
9.00008	273.894672265082
9.0450804	276.955948087009
9.0900808	280.068702867727
9.1350812	283.232775433937
9.1800816	286.448007704082
9.225082	289.71424468835
9.2700824	293.031334488678
9.3150828	296.399128298743
9.3600832	299.817480403971
9.4050836	303.28624818153
9.450084	306.805292100338
9.4950844	310.374475721053
9.5400848	313.993665696082
9.5850852	317.662731769574
9.6300856	321.381546777427
9.675086	325.149986647281
9.7200864	328.967930398521
9.7650868	332.835260142281
9.8100872	336.751861081437
9.8550876	340.71762151061
9.900088	344.732432816168
9.9450884	348.796189476223
9.9900888	352.908789060632
10.0350892	357.471321176695
10.0800896	362.011731629769
10.12509	366.392812095478
10.1700904	370.615245729153
10.2150908	374.679754681892
10.2600912	378.587100100555
10.3050916	382.338082127767
10.350092	385.933539901914
10.3950924	389.374351557149
10.4400928	392.661434223386
10.4850932	395.795744026305
10.5300936	398.778276087349
10.575094	401.610064523724
10.6200944	404.681013022224
10.6650948	408.165734009704
10.7100952	411.629811741473
10.7550956	415.071775342401
10.800096	418.490176633566
10.8450964	421.883590132261
10.8900968	425.250613051988
10.9350972	428.589865302459
10.9800976	431.899989489598
11.025098	435.179650915542
11.0700984	438.427537578635
11.1150988	441.642360173436
11.1600992	444.822852090712
11.2050996	447.967769417441
11.2501	451.075890936815
11.2951004	454.146018128234
11.3401008	457.17697516731
11.3851012	460.167608925867
11.4301016	463.116788971938
11.475102	466.023407569768
11.5201024	468.886379679813
11.5651028	471.704642958741
11.6101032	474.477157759429
11.6551036	477.202907130967
11.700104	479.880896818654
11.7451044	482.510155263999
11.7901048	485.089733604729
11.8351052	487.618705674773
11.8801056	490.096168004276
11.925106	492.521239819593
11.9701064	494.893063043291
12.0151068	497.210802294145
12.0601072	499.473644887143
12.1051076	501.680800833486
12.150108	503.831502840581
12.1951084	505.925006312052
12.2401088	507.960589347728
12.2851092	509.937552743656
12.3301096	511.855219992085
12.37511	513.712937281482
12.4201104	515.510073496523
12.4651108	517.246020218095
12.5101112	518.920191723296
12.5551116	520.532024985434
12.600112	522.080979674028
12.6451124	523.566538154812
12.6901128	524.988205489724
12.7351132	526.34550943692
12.7801136	527.638000450762
12.825114	528.865251681825
12.8701144	530.026858976895
12.9151148	531.122440878969
12.9601152	532.151638627254
13.0051156	533.11411615717
13.050116	534.009560100346
